magnitude,placename,time
6.9,"287km S of Ndoi Island, Fiji",24 Feb 2017 09:28 am
6.5,"9km SSW of Basilisa, Philippines",10 Feb 2017 06:03 am
6.5,"42km E of Padilla, Bolivia",21 Feb 2017 06:09 am
6.3,"22km WSW of Pasni, Pakistan",07 Feb 2017 02:03 pm
6.3,"50km NW of San Antonio de los Cobres, Argentina",18 Feb 2017 04:10 am
5.9,"46km E of Kaputa, Zambia",23 Feb 2017 04:32 pm
5.9,"287km SE of Lambasa, Fiji",24 Feb 2017 03:46 pm
5.8,"59km NE of Sainte-Marie, Martinique",03 Feb 2017 11:54 am
5.7,"28km ENE of Namie, Japan",27 Feb 2017 11:49 pm
5.6,"263km NNE of Fais, Micronesia",01 Feb 2017 04:18 pm
5.6,"18km WNW of Reuleuet, Indonesia",15 Feb 2017 11:47 am
5.6,"Off the coast of Aisen, Chile",28 Feb 2017 09:35 am
5.5,"25km S of Propicia, Ecuador",31 Jan 2017 06:22 am
5.5,"16km ENE of Colombia, Colombia",06 Feb 2017 05:02 am
5.5,"11km SSW of Hasaki, Japan",19 Feb 2017 01:19 am
5.5,"188km S of Mata-Utu, Wallis and Futuna",20 Feb 2017 03:55 pm
5.5,"56km NNW of Ceva-i-Ra, Fiji",23 Feb 2017 01:10 pm
5.5,"114km N of Isangel, Vanuatu",25 Feb 2017 10:44 pm
5.5,"229km NW of Saumlaki, Indonesia",28 Feb 2017 10:59 pm
5.5,"57km E of Atka, Alaska",01 Mar 2017 02:39 am
5.5,"42km WSW of Anchor Point, Alaska",01 Mar 2017 06:11 pm
5.4,"173km N of Dili, East Timor",31 Jan 2017 07:55 am
5.4,"22km WNW of Behram, Turkey",06 Feb 2017 02:58 am
5.4,Pacific-Antarctic Ridge,10 Feb 2017 08:27 pm
5.4,"78km E of Lagunas, Peru",19 Feb 2017 11:45 pm
5.4,"97km NNW of Lae, Papua New Guinea",23 Feb 2017 07:11 am
5.4,"49km SSW of Bengkulu, Indonesia",26 Feb 2017 07:21 am
5.3,"24km WNW of Behram, Turkey",05 Feb 2017 07:51 pm
5.3,Pacific-Antarctic Ridge,06 Feb 2017 10:23 am
5.3,"19km NNW of Mithymna, Greece",06 Feb 2017 06:24 pm
